ID;SEXO;TIPO_COLEGIO;Puntaje Nem;Puntaje Ranking;Puntaje Lenguaje;PAES_M1;PAES_M2;Puntaje Historia;Puntaje Ciencias;Puntaje Prom;Puntaje Pond.;DIAG_MAT;AYG_240;AYG_24-2;C1_240;C1_24-2;AL_24-2;C2_24-2
484;M;2;922;952;576;607;395;510;0;591,50;718,60;0,14;5,91;0,00;3,26;0,00;5,78;5,29
485;F;1;823;830;726;827;537;0;533;776,50;773,50;0,48;5,93;0,00;4,00;0,00;6,06;5,75
486;M;2;823;826;686;705;488;411;535;695,50;723,35;0,38;5,97;0,00;4,98;0,00;5,00;5,30
487;F;2;780;812;524;785;393;373;462;654,50;714,60;0,33;5,97;0,00;5,81;0,00;6,38;6,05
488;F;2;742;837;692;717;437;502;468;704,50;717,50;0,26;5,98;0,00;5,93;0,00;4,80;4,50
489;M;2;558;558;759;939;582;0;647;849,00;721,55;0,57;5,99;0,00;6,20;0,00;6,00;5,70
490;M;1;664;664;641;879;571;540;548;760,00;720,70;0,69;5,99;0,00;6,32;0,00;4,70;3,20
491;M;1;837;844;696;963;645;0;673;829,50;843,10;0,86;6,01;0,00;6,40;0,00;5,49;6,06
492;M;2;808;853;742;897;487;624;512;819,50;811,60;0,62;6,01;0,00;6,69;0,00;5,20;5,64
493;M;2;736;754;722;773;475;0;541;747,50;720,40;0,50;6,02;0,00;6,08;0,00;4,99;5,66
494;M;1;708;708;770;705;395;0;576;737,50;684,30;0,40;6,02;0,00;6,13;0,00;5,36;6,58
495;M;1;708;708;770;705;395;0;576;737,50;684,30;0,40;6,02;0,00;6,13;0,00;5,36;6,58
496;M;2;837;890;597;642;393;0;503;619,50;705,05;0,26;6,02;0,00;5,11;0,00;5,50;4,39
497;M;2;880;939;584;811;464;0;517;697,50;786,85;0,60;6,02;0,00;6,57;0,00;5,92;6,30
498;M;2;567;567;623;778;518;0;545;700,50;641,80;0,24;6,03;0,00;5,67;0,00;5,23;5,10
499;M;2;567;567;623;778;518;0;545;700,50;641,80;0,24;6,03;0,00;5,67;0,00;5,23;5,10
500;F;2;742;769;582;717;406;498;413;649,50;684,15;0,62;6,03;0,00;6,08;0,00;4,95;5,69
501;M;2;622;622;697;897;532;0;671;797,00;726,15;0,64;6,03;0,00;5,68;0,00;6,17;6,57
502;F;2;900;952;770;696;422;0;479;733,00;765,20;0,33;6,07;0,00;5,17;0,00;5,53;5,19
503;M;2;793;835;686;669;498;468;512;677,50;708,65;0,31;6,07;0,00;5,78;0,00;5,70;5,10
504;F;2;879;930;600;680;466;0;585;640,00;746,70;0,17;6,07;0,00;5,97;0,00;5,38;5,60
505;F;2;886;906;591;616;348;388;512;603,50;703,70;0,40;6,08;0,00;5,66;0,00;5,35;6,23
506;M;2;799;817;701;827;548;0;585;764,00;770,45;0,55;6,09;0,00;5,00;0,00;5,30;5,60
507;F;1;865;886;799;897;616;756;622;848,00;852,55;0,62;6,09;0,00;5,01;0,00;5,78;5,03
508;M;3;865;868;701;827;509;0;594;764,00;791,30;0,57;6,10;0,00;2,86;0,00;6,01;5,09
509;F;2;742;873;805;773;625;0;676;789,00;786,00;0,60;6,10;0,00;6,51;0,00;5,63;5,42
510;M;2;729;749;611;705;408;438;590;658,00;684,85;0,48;6,10;0,00;6,55;0,00;6,66;6,97
511;M;2;779;797;815;949;616;716;585;882,00;833,05;0,69;6,10;0,00;6,87;0,00;5,75;6,23
512;F;3;900;922;651;785;487;388;427;718,00;773,50;0,43;6,10;0,00;4,76;0,00;4,90;5,40
513;M;2;870;885;563;669;348;498;577;616,00;718,05;0,45;6,11;0,00;6,04;0,00;5,55;5,86
514;F;3;842;861;850;827;487;0;686;838,50;809,90;0,48;6,11;0,00;6,15;0,00;6,23;5,99
515;M;2;685;685;738;949;589;0;663;843,50;775,70;0,76;6,12;0,00;6,97;0,00;5,74;6,83
516;M;3;680;694;788;811;476;819;0;799,50;744,55;0,62;6,12;0,00;6,12;0,00;4,98;5,04
517;F;2;879;899;696;688;464;492;568;692,00;748,00;0,36;6,12;0,00;5,30;0,00;5,06;5,35
518;M;2;736;756;689;827;563;720;0;758,00;758,90;0,43;6,12;0,00;6,48;0,00;5,64;6,75
519;F;2;699;699;759;761;496;0;546;760,00;701,25;0,52;6,16;0,00;6,38;0,00;6,20;6,25
520;M;2;613;613;726;879;703;0;601;802,50;720,70;0,93;6,17;0,00;6,98;0,00;5,18;5,38
521;M;2;709;764;754;746;363;0;623;750,00;717,05;0,21;6,17;0,00;5,18;0,00;5,74;4,40
522;M;2;785;808;819;861;616;0;575;840,00;792,45;0,74;6,17;0,00;5,00;0,00;5,79;5,36
523;M;2;907;1000;701;773;504;420;511;737,00;807,65;0,43;6,18;0,00;6,48;0,00;5,99;6,31
524;M;2;708;715;742;861;616;0;548;801,50;746,45;0,74;6,20;0,00;5,97;0,00;5,28;5,71
525;M;2;865;895;620;731;406;0;406;675,50;733,75;0,52;6,21;0,00;6,11;0,00;5,46;6,03
526;M;2;942;998;738;696;450;619;510;717,00;795,40;0,52;6,21;0,00;6,01;0,00;5,47;5,07
527;M;2;837;919;625;785;422;388;0;705,00;756,55;0,48;6,22;0,00;5,67;0,00;5,45;5,16
528;F;2;856;872;742;746;379;526;567;744,00;758,15;0,40;6,22;0,00;5,38;0,00;5,45;5,40
529;M;1;842;848;611;785;476;480;544;698,00;752,65;0,48;6,22;0,00;5,90;0,00;5,42;5,27
530;M;2;914;974;726;696;379;0;473;711,00;766,05;0,29;6,23;0,00;5,12;0,00;5,00;5,61
531;M;3;914;966;665;657;346;0;546;661,00;749,55;0,38;6,27;0,00;5,40;0,00;5,32;5,20
532;M;3;771;806;519;657;379;460;546;588,00;674,30;0,50;6,28;0,00;6,09;0,00;5,38;5,68
533;M;2;479;479;755;869;563;0;585;812,00;657,90;0,74;6,30;0,00;5,88;0,00;5,84;5,09
534;M;2;479;479;755;869;563;0;585;812,00;657,90;0,74;6,30;0,00;5,88;0,00;5,84;5,09
535;M;2;668;668;678;811;532;0;654;744,50;710,85;0,67;6,30;0,00;4,19;0,00;4,70;5,59
536;F;3;671;671;788;917;563;638;612;852,50;760,10;0,62;6,31;0,00;6,18;0,00;4,27;6,05
537;M;1;842;843;656;827;571;0;567;741,50;777,40;0,62;6,32;0,00;6,17;0,00;5,90;5,70
538;F;2;886;939;665;688;488;0;515;676,50;753,50;0,36;6,33;0,00;5,65;0,00;5,78;5,05
539;M;2;613;613;679;963;571;0;601;821,00;738,80;0,67;6,33;0,00;6,29;0,00;6,48;6,37
540;M;2;622;622;600;862;537;460;484;731,00;685,75;0,76;6,34;0,00;6,60;0,00;5,26;6,38
541;M;2;837;860;692;753;504;0;661;722,50;765,75;0,69;6,37;0,00;6,30;0,00;6,05;6,16
542;M;2;657;659;689;688;487;0;601;688,50;657,55;0,45;6,37;0,00;5,85;0,00;5,76;5,50
543;M;2;384;389;761;917;671;0;563;839,00;642,00;0,86;6,37;0,00;4,77;0,00;4,90;4,40
544;M;2;643;646;721;773;520;0;601;747,00;686,85;0,33;6,39;0,00;5,42;0,00;5,30;5,57
545;F;2;823;851;754;879;657;0;567;816,50;810,20;0,57;6,39;0,00;5,02;0,00;5,65;5,00
546;M;2;842;964;692;811;452;502;601;751,50;809,15;0,60;6,40;0,00;5,87;0,00;5,21;4,70
547;M;2;793;801;815;879;534;438;618;847,00;797,25;0,57;6,41;0,00;5,05;0,00;5,79;4,60
548;M;2;785;792;726;917;408;0;581;821,50;788,15;0,57;6,41;0,00;5,98;0,00;6,16;5,65
549;M;2;934;967;759;963;582;0;679;861,00;893,45;0,90;6,41;0,00;6,82;0,00;6,48;5,63
550;M;1;713;749;649;830;483;0;656;739,50;741,15;0,60;6,41;0,00;6,18;0,00;0,00;5,47
551;M;2;857;975;819;642;434;570;0;730,50;763,50;0,33;6,41;0,00;5,59;0,00;4,97;5,66
552;M;2;765;828;816;746;379;578;648;781,00;751,35;0,40;6,42;0,00;5,89;0,00;5,43;6,04
553;F;3;694;694;607;746;452;598;537;676,50;681,80;0,31;6,43;0,00;6,72;0,00;6,69;6,78
554;M;3;664;677;813;761;452;0;606;787,00;700,35;0,50;6,45;0,00;6,28;0,00;5,76;6,08
555;M;1;757;754;638;797;548;446;548;717,50;726,85;0,48;6,47;0,00;5,91;0,00;5,25;5,38
556;M;2;722;722;540;785;582;0;488;662,50;695,45;0,52;6,47;0,00;6,37;0,00;5,31;4,90
557;M;2;779;799;656;785;488;570;580;720,50;740,35;0,50;6,48;0,00;5,87;0,00;5,34;4,97
558;M;2;671;671;816;827;452;0;543;821,50;716,35;0,50;6,48;0,00;5,33;0,00;5,75;4,90
559;M;2;628;628;742;879;601;335;606;810,50;723,70;0,64;6,48;0,00;5,88;0,00;5,60;6,87
560;M;2;779;915;872;659;444;0;622;765,50;754,65;0,74;6,48;0,00;7,00;0,00;4,40;5,33
561;M;2;736;751;625;917;498;0;633;771,00;770,55;0,48;6,48;0,00;6,21;0,00;5,29;4,99
562;M;3;928;941;679;963;678;0;686;821,00;882,55;0,57;6,48;0,00;5,82;0,00;6,48;6,36
563;M;2;880;973;857;844;478;0;586;850,50;843,50;0,48;6,49;0,00;4,43;0,00;5,69;5,64
564;M;2;799;834;641;746;487;0;504;693,50;730,05;0,48;6,49;0,00;4,53;0,00;5,28;5,88
565;M;2;879;926;607;761;452;598;461;684,00;775,15;0,45;6,50;0,00;6,09;0,00;6,34;6,04
566;M;2;793;813;815;917;628;0;590;866,00;816,05;0,45;6,51;0,00;6,59;0,00;5,38;6,18
567;M;2;879;936;576;688;520;489;569;632,00;750,00;0,60;6,51;0,00;6,58;0,00;5,69;6,10
568;M;2;808;810;819;844;522;0;585;831,50;785,70;0,62;6,52;0,00;7,00;0,00;5,83;5,28
569;M;2;951;1000;745;659;385;535;530;702,00;773,00;0,12;6,57;0,00;5,93;0,00;5,74;6,55
570;F;4;779;791;641;607;379;0;496;624,00;660,30;0,36;6,58;0,00;6,40;0,00;5,82;6,29
571;M;2;551;551;802;879;487;609;598;840,50;693,50;0,36;6,59;0,00;4,20;0,00;5,44;4,50
572;M;1;608;608;633;731;475;368;369;682,00;623,00;0,31;6,59;0,00;6,98;0,00;5,95;6,23
573;M;2;586;586;759;811;520;632;502;785,00;683,35;0,62;6,61;0,00;4,88;0,00;6,53;6,76
574;M;3;765;765;676;897;573;0;633;786,50;779,50;0,50;6,61;0,00;6,60;0,00;6,16;5,70
575;M;3;722;739;738;797;464;0;691;767,50;738,95;0,43;6,62;0,00;6,29;0,00;5,95;6,32
576;F;2;779;799;815;897;496;602;0;856,00;798,05;0,48;6,67;0,00;6,92;0,00;6,34;5,91
577;M;2;907;988;726;811;434;0;508;768,50;816,05;0,43;6,67;0,00;5,83;0,00;6,45;6,16
578;M;2;956;990;799;963;718;0;736;881,00;919,05;0,98;6,67;0,00;7,00;0,00;6,51;6,76
579;M;2;851;938;711;797;563;0;584;754,00;803,10;0,48;6,68;0,00;5,88;0,00;4,40;6,22
580;M;2;510;511;726;917;616;628;676;821,50;696,25;0,57;6,69;0,00;6,94;0,00;6,65;6,60
581;M;2;771;774;784;785;476;725;0;784,50;758,75;0,45;6,69;0,00;6,23;0,00;5,11;5,37
582;M;3;613;614;759;879;434;0;612;819,00;711,95;0,67;6,69;0,00;1,74;0,00;5,40;6,57
583;M;2;900;917;799;917;561;0;647;858,00;858,70;0,60;6,71;0,00;6,48;0,00;5,84;6,44
584;M;2;694;787;799;827;561;893;462;813,00;792,20;0,62;6,71;0,00;6,81;0,00;6,41;6,44
585;M;2;842;872;656;844;590;699;569;750,00;806,20;0,55;6,71;0,00;4,90;0,00;6,67;7,00
586;M;2;594;594;679;917;522;556;499;798,00;708,15;0,48;6,72;0,00;6,40;0,00;5,85;6,15
587;M;2;594;594;679;917;522;556;499;798,00;708,15;0,48;6,72;0,00;6,40;0,00;5,85;6,15
588;M;2;722;737;651;879;496;0;576;765,00;748,45;0,55;6,72;0,00;6,09;0,00;6,23;5,20
589;F;1;865;876;799;827;628;0;724;813,00;822,45;0,74;6,73;0,00;7,00;0,00;6,69;6,79
590;F;3;879;888;651;879;466;605;499;765,00;810,85;0,50;6,74;0,00;5,70;0,00;5,36;6,25
591;M;2;628;628;726;797;548;0;617;761,50;691,85;0,55;6,77;0,00;6,40;0,00;6,10;5,89
592;F;2;808;830;573;600;476;0;502;586,50;671,10;0,24;6,79;0,00;5,69;0,00;5,34;5,62
593;M;2;636;636;686;746;509;595;663;716,00;675,85;0,43;6,79;0,00;6,34;0,00;5,87;5,28
594;M;3;664;662;784;844;573;695;654;814,00;736,95;0,55;6,81;0,00;6,68;0,00;6,34;6,49
595;F;2;837;872;799;731;459;514;509;765,00;755,40;0,33;6,82;0,00;6,76;0,00;6,48;6,93
596;M;1;713;713;834;963;703;0;698;898,50;810,60;0,88;6,82;0,00;6,59;0,00;6,51;6,72
597;M;3;672;692;596;963;590;373;567;779,50;757,65;0,74;6,82;0,00;6,51;0,00;6,60;6,68
598;M;2;886;925;872;861;466;0;816;866,50;859,55;0,60;6,82;0,00;6,77;0,00;6,37;6,37
599;M;3;643;643;784;879;534;0;495;831,50;719,45;0,48;6,82;0,00;5,58;0,00;4,80;4,90
600;M;2;937;1000;699;785;478;0;415;742,00;803,75;0,67;6,82;0,00;6,19;0,00;5,40;6,51
601;M;2;713;762;738;785;522;578;536;761,50;732,35;0,64;6,83;0,00;4,47;0,00;5,74;5,73
602;M;2;842;866;745;886;560;643;588;815,50;820,90;0,64;6,83;0,00;6,93;0,00;6,48;6,86
603;M;2;842;869;689;688;476;445;560;688,50;734,40;0,33;6,86;0,00;6,83;0,00;6,13;6,55
604;M;2;808;897;654;879;582;0;594;766,50;811,45;0,71;6,87;0,00;7,00;0,00;5,64;6,37
605;M;1;793;793;754;990;563;0;635;872,00;830,75;0,86;6,87;0,00;6,77;0,00;6,02;6,44
606;M;3;842;910;589;785;537;360;580;687,00;775,70;0,62;6,90;0,00;6,70;0,00;6,55;6,33
607;M;2;785;823;754;879;581;480;548;816,50;792,30;0,69;6,92;0,00;6,84;0,00;6,34;6,55
608;M;3;636;636;770;963;560;0;613;866,50;757,75;0,55;6,94;0,00;6,37;0,00;6,50;6,96
609;M;3;713;716;679;917;716;624;679;798,00;778,65;0,90;6,95;0,00;7,00;0,00;7,00;7,00
610;M;2;856;886;802;827;582;0;589;814,50;809,05;0,52;6,97;0,00;4,90;0,00;6,09;6,69
611;M;3;572;572;699;963;603;0;606;831,00;726,50;0,67;6,98;0,00;6,48;0,00;6,37;6,04
612;M;2;736;756;815;797;507;0;656;806,00;751,80;0,57;6,99;0,00;6,82;0,00;0,00;0,00
613;M;2;671;671;799;879;582;654;0;839,00;750,45;0,64;7,00;0,00;4,53;0,00;2,80;3,70
614;M;1;851;872;788;671;428;0;506;729,50;732,35;0,52;7,00;0,00;6,71;0,00;6,16;6,90
