ID;SEXO;TIPO_COLEGIO;Puntaje Nem;Puntaje Ranking;Puntaje Lenguaje;PAES_M1;PAES_M2;Puntaje Historia;Puntaje Ciencias;Puntaje Prom;Puntaje Pond.;DIAG_MAT;AYG_240;AYG_24-2;C1_240;C1_24-2;AL_24-2;C2_24-2
74;F;2;951;1000;738;607;419;0;506;672,50;752,90;0,17;2,67;5,45;1,24;4,10;0,00;0,00
75;M;2;609;609;641;657;269;378;0;649,00;588,90;0,21;2,72;1,30;1,38;1,00;0,00;0,00
76;F;2;685;707;721;607;452;0;454;664,00;633,15;0,19;2,80;2,00;2,70;4,00;0,00;0,00
77;F;1;643;643;633;688;422;0;431;660,50;625,50;0,29;2,84;4,30;5,33;0,00;0,00;3,70
78;F;2;771;792;674;645;413;0;478;659,50;676,30;0,31;2,88;4,60;5,01;0,00;0,00;2,10
79;M;2;643;643;689;844;466;0;674;766,50;712,20;0,50;2,89;5,00;3,70;4,30;0,00;0,00
80;M;2;779;846;686;669;406;0;577;677,50;712,45;0,19;2,92;5,21;2,47;4,70;0,00;0,00
81;M;2;713;712;701;797;450;0;581;749,00;714,55;0,36;2,93;5,98;2,13;5,30;0,00;0,00
82;M;2;608;608;620;717;406;0;495;668,50;625,95;0,12;2,95;0,00;1,99;0,00;0,00;0,00
83;M;2;708;710;686;593;393;0;483;639,50;627,90;0,12;2,98;5,20;4,60;0,00;0,00;4,71
84;F;2;842;851;692;688;437;0;511;690,00;722,45;0,52;3,00;5,18;3,25;5,85;0,00;0,00
85;F;2;814;844;496;599;292;405;410;547,50;649,45;0,19;3,02;5,42;5,00;0,00;0,00;5,03
86;F;2;837;884;591;642;290;0;498;616,50;697,00;0,24;3,03;5,04;5,72;0,00;0,00;6,15
87;M;2;685;727;669;717;346;0;587;693,00;680,45;0,17;3,05;4,40;4,84;0,00;0,00;3,30
88;F;2;870;936;589;642;366;0;461;615,50;715,80;0,21;3,08;5,50;4,44;0,00;0,00;4,00
89;F;2;823;839;722;676;463;480;431;699,00;713,95;0,48;3,08;2,90;2,45;2,90;0,00;0,00
90;M;3;823;858;591;696;292;495;499;643,50;706,90;0,14;3,11;4,10;3,03;4,10;0,00;0,00
91;M;1;594;594;816;879;551;0;635;847,50;717,90;0,50;3,12;5,61;4,67;0,00;0,00;4,10
92;M;2;613;613;697;717;463;0;618;707,00;650,80;0,36;3,16;4,00;4,00;0,00;0,00;2,60
93;M;1;708;708;788;797;483;851;512;792,50;750,20;0,31;3,19;3,70;2,97;5,00;0,00;0,00
94;M;3;594;594;597;862;478;0;524;729,50;675,30;0,50;3,20;4,00;3,58;5,22;0,00;0,00
95;F;2;685;685;600;679;450;0;488;639,50;642,95;0,33;3,21;4,00;4,42;0,00;0,00;1,93
96;M;3;879;883;473;535;271;365;479;504,00;648,80;0,17;3,21;2,40;2,88;4,60;0,00;0,00
97;F;2;828;896;489;642;434;402;363;565,50;687,10;0,17;3,25;4,00;4,49;0,00;0,00;4,70
98;M;3;523;523;625;616;348;0;398;620,50;544,50;0,17;3,26;4,00;5,25;0,00;0,00;3,10
99;M;3;523;523;625;616;348;0;398;620,50;544,50;0,17;3,26;4,00;5,25;0,00;0,00;3,10
100;M;3;729;765;489;657;450;0;515;573,00;655,25;0,36;3,26;1,00;2,14;1,90;0,00;0,00
101;M;2;495;497;722;844;498;0;579;783,00;649,00;0,45;3,29;3,70;5,28;0,00;0,00;2,00
102;M;2;771;809;584;679;348;495;418;631,50;682,75;0,17;3,30;4,00;3,95;0,00;0,00;2,60
103;M;2;613;613;584;505;408;0;410;544,50;541,75;0,10;3,32;4,60;4,72;0,00;0,00;4,00
104;F;3;779;784;625;761;363;410;585;693,00;718,60;0,33;3,34;4,20;2,12;0,00;0,00;3,40
105;M;2;801;851;378;563;348;365;0;470,50;624,15;0,17;3,38;0,00;5,73;0,00;0,00;0,00
106;M;3;942;966;891;631;413;659;0;761,00;780,50;0,40;3,38;4,30;3,73;5,77;0,00;0,00
107;F;2;671;676;584;642;452;0;456;613,00;621,20;0,29;3,40;5,16;2,86;0,00;0,00;2,20
108;M;3;680;682;696;628;434;0;515;662,00;635,20;0,21;3,42;4,80;4,89;0,00;0,00;3,40
109;M;2;582;582;663;679;444;368;499;671,00;608,85;0,33;3,43;5,00;4,40;0,00;0,00;4,66
110;M;2;680;680;551;575;385;0;478;563,00;595,40;0,17;3,49;1,40;2,11;0,00;0,00;1,70
111;M;2;736;736;563;669;452;498;499;616,00;657,35;0,10;3,50;1,30;3,65;4,00;0,00;0,00
112;M;2;736;736;563;669;452;498;499;616,00;657,35;0,10;3,50;1,30;3,65;4,00;0,00;0,00
113;M;2;871;934;696;785;393;474;423;740,50;778,70;0,40;3,51;4,90;4,33;0,00;0,00;3,70
114;F;2;856;891;620;642;395;0;521;631,00;711,45;0,33;3,51;4,00;4,16;0,00;0,00;3,20
115;M;2;842;931;676;705;434;520;483;690,50;751,55;0,19;3,53;4,10;3,76;4,50;0,00;0,00
116;M;3;680;682;591;642;379;438;490;616,50;624,35;0,33;3,55;5,10;4,52;0,00;0,00;1,60
117;M;2;785;829;745;696;450;0;567;720,50;724,50;0,17;3,57;4,00;1,91;3,40;0,00;0,00
118;M;2;765;771;651;593;395;0;496;622,00;649,80;0,36;3,57;0,00;2,53;0,00;0,00;0,00
119;M;3;636;632;837;862;478;0;580;849,50;720,50;0,38;3,57;1,70;3,67;2,20;0,00;0,00
120;M;2;643;643;721;642;381;388;494;681,50;622,45;0,05;3,59;1,40;0,50;1,80;0,00;0,00
121;M;3;636;636;738;785;312;0;557;761,50;674,25;0,48;3,59;4,00;2,03;5,24;0,00;0,00
122;M;3;636;636;738;785;312;0;557;761,50;674,25;0,48;3,59;4,00;2,03;5,24;0,00;0,00
123;M;2;526;526;576;761;428;0;448;668,50;600,55;0,26;3,59;3,50;5,14;0,00;0,00;4,10
124;M;2;526;526;576;761;428;0;448;668,50;600,55;0,26;3,59;3,50;5,14;0,00;0,00;4,10
125;F;3;842;857;676;657;381;454;557;666,50;713,60;0,26;3,61;2,30;3,67;1,50;0,00;0,00
126;M;2;356;364;714;607;379;0;586;660,50;506,20;0,19;3,61;1,60;4,91;0,00;0,00;1,00
127;M;2;851;908;759;669;346;0;551;714,00;739,95;0,17;3,61;5,50;4,73;0,00;0,00;3,50
128;M;1;771;772;641;688;363;699;494;664,50;701,65;0,50;3,65;4,20;4,72;0,00;0,00;4,00
129;M;2;752;788;600;705;496;0;510;652,50;694,15;0,21;3,68;5,26;5,67;0,00;0,00;4,90
130;M;2;842;870;656;785;419;384;410;720,50;747,50;0,31;3,72;5,25;4,55;0,00;0,00;4,00
131;M;2;814;842;726;657;422;609;560;691,50;718,55;0,19;3,73;5,24;5,20;0,00;0,00;4,20
132;M;3;622;622;651;657;379;0;541;654,00;616,90;0,19;3,73;2,40;1,88;4,10;0,00;0,00
133;M;3;699;699;754;731;330;0;636;742,50;690,95;0,31;3,74;4,40;3,43;6,08;0,00;0,00
134;M;2;893;911;679;746;395;591;512;712,50;770,45;0,17;3,74;5,00;5,09;0,00;0,00;5,30
135;M;3;771;771;738;773;452;591;581;755,50;734,45;0,40;3,76;5,20;4,29;0,00;0,00;4,60
136;M;2;785;793;775;827;498;0;428;801,00;751,05;0,64;3,78;4,10;4,05;0,00;0,00;1,40
137;M;2;793;804;473;628;328;502;383;550,50;654,20;0,10;3,83;4,00;2,31;4,00;0,00;0,00
138;M;2;793;804;473;628;328;502;383;550,50;654,20;0,10;3,83;4,00;2,31;4,00;0,00;0,00
139;M;2;799;916;696;679;381;0;488;687,50;729,80;0,40;3,84;1,30;5,02;0,00;0,00;1,30
140;F;2;699;716;591;498;346;411;502;544,50;585,60;0,29;3,95;0,00;4,98;0,00;4,90;4,97
141;F;3;856;861;576;705;366;0;504;640,50;716,95;0,36;3,95;0,00;5,11;0,00;3,80;3,40
142;F;2;808;818;524;669;419;0;460;596,50;679,70;0,21;3,96;0,00;5,29;0,00;4,30;4,00
143;M;1;722;722;506;696;422;0;489;601,00;653,00;0,45;3,96;0,00;3,69;5,25;5,29;0,00
144;M;1;722;722;506;696;422;0;489;601,00;653,00;0,45;3,96;0,00;3,69;5,25;5,29;0,00
145;M;3;572;572;701;715;444;0;530;708,00;624,35;0,52;3,97;0,00;3,97;0,00;4,00;2,30
146;M;3;572;572;701;715;444;0;530;708,00;624,35;0,52;3,97;0,00;3,97;0,00;4,00;2,30
147;F;2;742;752;641;669;422;496;594;655,00;678,55;0,43;3,97;0,00;4,17;0,00;0,00;4,10
148;M;2;680;680;489;535;408;388;432;512,00;571,75;0,10;3,98;0,00;3,65;4,96;2,50;0,00
149;M;2;601;619;679;705;406;0;494;692,00;630,15;0,31;3,98;0,00;2,65;0,00;1,40;1,90
150;F;2;823;844;641;549;346;498;500;595,00;659,05;0,19;3,98;0,00;4,29;0,00;4,50;3,20
151;M;3;657;657;689;785;452;520;544;737,00;683,45;0,29;3,98;0,00;4,00;0,00;5,30;3,70
152;M;3;657;657;689;785;452;520;544;737,00;683,45;0,29;3,98;0,00;4,00;0,00;5,30;3,70
153;M;2;664;664;692;790;463;0;575;741,00;691,95;0,21;3,99;0,00;2,57;3,00;1,90;0,00
154;F;2;823;846;600;593;330;520;0;596,50;672,15;0,21;3,99;0,00;4,22;0,00;4,58;4,80
155;M;2;742;753;830;790;488;669;644;810,00;750,90;0,50;3,99;0,00;3,98;0,00;4,70;4,30
156;M;2;886;897;686;642;328;577;370;664,00;725,10;0,26;3,99;0,00;4,19;0,00;0,00;4,24
157;F;2;652;680;551;585;395;0;458;568,00;594,60;0,14;3,99;0,00;1,88;4,00;3,30;0,00
158;F;2;893;930;686;593;248;424;456;639,50;702,45;0,02;4,00;0,00;4,01;0,00;5,03;4,40
159;M;3;751;771;574;695;459;480;467;634,50;678,00;0,19;4,00;0,00;4,97;0,00;4,60;4,00
160;M;2;808;836;775;773;466;0;592;774,00;762,15;0,29;4,00;0,00;4,79;0,00;5,71;4,50
161;M;2;736;736;714;827;580;0;493;770,50;733,55;0,55;4,00;0,00;3,25;4,00;2,50;0,00
162;M;2;765;772;619;616;428;0;535;617,50;660,50;0,05;4,00;0,00;3,02;0,00;3,60;2,70
163;M;2;771;823;774;680;434;0;603;727,00;721,40;0,36;4,00;0,00;2,73;4,00;4,00;0,00
164;M;1;742;750;721;593;381;393;0;657,00;637,20;0,29;4,00;0,00;3,71;4,10;1,90;0,00
165;F;2;865;909;667;696;463;0;565;681,50;749,15;0,17;4,00;0,00;5,30;0,00;4,80;5,23
166;M;1;708;708;589;705;561;0;548;647,00;671,70;0,33;4,01;0,00;4,42;0,00;4,00;1,70
167;M;2;751;791;711;746;537;0;589;728,50;730,35;0,64;4,02;0,00;5,33;0,00;5,21;4,60
168;M;3;771;771;669;705;381;430;488;687,00;689,90;0,24;4,02;0,00;5,53;0,00;3,50;4,50
169;M;1;879;905;721;773;419;0;508;747,00;773,80;0,26;4,02;0,00;5,43;0,00;5,15;3,70
170;M;3;694;694;625;642;363;0;496;633,50;632,55;0,50;4,04;0,00;2,70;0,00;5,00;4,98
171;M;2;837;893;607;688;422;0;593;647,50;733,50;0,38;4,08;0,00;4,99;0,00;5,12;5,08
172;F;2;808;906;676;549;393;484;0;612,50;680,40;0,14;4,09;0,00;4,50;0,00;4,00;2,90
173;M;1;793;807;636;593;434;582;584;614,50;672,65;0,17;4,09;0,00;4,49;0,00;3,60;3,00
174;F;2;680;683;770;717;366;598;494;743,50;678,95;0,33;4,10;0,00;3,47;4,40;2,80;0,00
175;M;2;870;909;738;696;330;619;482;717,00;755,50;0,26;4,11;0,00;5,32;0,00;5,40;5,50
176;M;2;519;519;600;705;348;0;524;652,50;584,15;0,40;4,11;0,00;4,64;0,00;5,53;3,10
177;M;2;900;928;738;773;406;556;580;755,50;791,05;0,38;4,13;0,00;6,29;0,00;1,40;2,17
178;M;2;780;886;611;642;381;0;389;626,50;687,55;0,10;4,13;0,00;4,88;0,00;4,98;5,58
